idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
15,FakeManilaV2,11,3,300,0.18,0.8432,0.015,0.0075
15,FakeManilaV2,11,4,400,0.185,0.838,0.005,0.0052
15,FakeManilaV2,11,5,500,0.184,0.8346,0.001,0.0034
15,FakeManilaV2,11,6,600,0.1783,0.8473,0.0057,0.0128
15,FakeManilaV2,11,7,700,0.1643,0.8514,0.014,0.0041
15,FakeManilaV2,11,8,800,0.1663,0.8582,0.002,0.0068
15,FakeManilaV2,11,9,900,0.1633,0.859,0.0029,0.0008
15,FakeManilaV2,11,10,1000,0.159,0.8585,0.0043,0.0005
15,FakeManilaV2,12,1,100,0.16,0.9062,1.0,1.0
15,FakeManilaV2,12,2,200,0.17,0.8592,0.01,0.0471
15,FakeManilaV2,12,3,300,0.1633,0.8659,0.0067,0.0068
15,FakeManilaV2,12,4,400,0.1475,0.8818,0.0158,0.0159
15,FakeManilaV2,12,5,500,0.152,0.8689,0.0045,0.0129
15,FakeManilaV2,12,6,600,0.15,0.8693,0.002,0.0004
15,FakeManilaV2,12,7,700,0.1543,0.8646,0.0043,0.0047
15,FakeManilaV2,12,8,800,0.145,0.8664,0.0093,0.0018
15,FakeManilaV2,12,9,900,0.1422,0.8659,0.0028,0.0005
15,FakeManilaV2,12,10,1000,0.14,0.8697,0.0022,0.0038
15,FakeManilaV2,13,1,100,0.2,0.8445,1.0,1.0
15,FakeManilaV2,13,2,200,0.15,0.8658,0.05,0.0213
15,FakeManilaV2,13,3,300,0.1233,0.8744,0.0267,0.0086
15,FakeManilaV2,13,4,400,0.1225,0.881,0.0008,0.0066
15,FakeManilaV2,13,5,500,0.144,0.8787,0.0215,0.0023
15,FakeManilaV2,13,6,600,0.1317,0.8806,0.0123,0.002
15,FakeManilaV2,13,7,700,0.13,0.8791,0.0017,0.0016
15,FakeManilaV2,13,8,800,0.1325,0.8792,0.0025,0.0002
15,FakeManilaV2,13,9,900,0.13,0.8778,0.0025,0.0014
15,FakeManilaV2,13,10,1000,0.131,0.8787,0.001,0.0009
15,FakeManilaV2,14,1,100,0.15,0.9163,1.0,1.0
15,FakeManilaV2,14,2,200,0.115,0.9252,0.035,0.009
15,FakeManilaV2,14,3,300,0.1333,0.9144,0.0183,0.0109
15,FakeManilaV2,14,4,400,0.145,0.9026,0.0117,0.0117
15,FakeManilaV2,14,5,500,0.128,0.9102,0.017,0.0076
15,FakeManilaV2,14,6,600,0.1267,0.9008,0.0013,0.0094
15,FakeManilaV2,14,7,700,0.1271,0.8939,0.0005,0.0069
15,FakeManilaV2,14,8,800,0.13,0.8915,0.0029,0.0024
15,FakeManilaV2,14,9,900,0.1422,0.8861,0.0122,0.0054
15,FakeManilaV2,14,10,1000,0.141,0.8833,0.0012,0.0028
15,FakeManilaV2,15,1,100,0.14,0.8673,1.0,1.0
15,FakeManilaV2,15,2,200,0.145,0.8675,0.005,0.0002
15,FakeManilaV2,15,3,300,0.1433,0.8559,0.0017,0.0116
15,FakeManilaV2,15,4,400,0.135,0.8621,0.0083,0.0062
15,FakeManilaV2,15,5,500,0.13,0.8674,0.005,0.0053
15,FakeManilaV2,15,6,600,0.135,0.862,0.005,0.0054
15,FakeManilaV2,15,7,700,0.1343,0.8621,0.0007,0.0001
15,FakeManilaV2,15,8,800,0.1338,0.8636,0.0005,0.0015
15,FakeManilaV2,15,9,900,0.1367,0.8688,0.0029,0.0052
15,FakeManilaV2,15,10,1000,0.137,0.8653,0.0003,0.0035
15,FakeManilaV2,16,1,100,0.14,0.8596,1.0,1.0
15,FakeManilaV2,16,2,200,0.125,0.8826,0.015,0.023
15,FakeManilaV2,16,3,300,0.1333,0.8736,0.0083,0.009
15,FakeManilaV2,16,4,400,0.115,0.8839,0.0183,0.0103
15,FakeManilaV2,16,5,500,0.13,0.8691,0.015,0.0148
15,FakeManilaV2,16,6,600,0.1317,0.8675,0.0017,0.0016
15,FakeManilaV2,16,7,700,0.1329,0.8661,0.0012,0.0014
15,FakeManilaV2,16,8,800,0.1338,0.8653,0.0009,0.0008
15,FakeManilaV2,16,9,900,0.1322,0.8685,0.0015,0.0031
15,FakeManilaV2,16,10,1000,0.144,0.8608,0.0118,0.0077
15,FakeManilaV2,17,1,100,0.19,0.8865,1.0,1.0
15,FakeManilaV2,17,2,200,0.175,0.8715,0.015,0.015
15,FakeManilaV2,17,3,300,0.17,0.8745,0.005,0.0031
15,FakeManilaV2,17,4,400,0.19,0.8533,0.02,0.0212
15,FakeManilaV2,17,5,500,0.174,0.8652,0.016,0.0119
15,FakeManilaV2,17,6,600,0.17,0.8698,0.004,0.0045
15,FakeManilaV2,17,7,700,0.1643,0.8687,0.0057,0.0011
15,FakeManilaV2,17,8,800,0.17,0.8567,0.0057,0.012
15,FakeManilaV2,17,9,900,0.17,0.8512,0.0,0.0055
15,FakeManilaV2,17,10,1000,0.158,0.8587,0.012,0.0075
15,FakeManilaV2,18,1,100,0.13,0.9025,1.0,1.0
15,FakeManilaV2,18,2,200,0.125,0.8874,0.005,0.0151
15,FakeManilaV2,18,3,300,0.11,0.8895,0.015,0.0021
15,FakeManilaV2,18,4,400,0.1175,0.8885,0.0075,0.001
15,FakeManilaV2,18,5,500,0.106,0.893,0.0115,0.0045
15,FakeManilaV2,18,6,600,0.1117,0.8944,0.0057,0.0014
15,FakeManilaV2,18,7,700,0.1129,0.8937,0.0012,0.0007
15,FakeManilaV2,18,8,800,0.1187,0.8936,0.0059,0.0001
15,FakeManilaV2,18,9,900,0.1211,0.8927,0.0024,0.0009
15,FakeManilaV2,18,10,1000,0.122,0.889,0.0009,0.0037
15,FakeManilaV2,19,1,100,0.22,0.8227,1.0,1.0
15,FakeManilaV2,19,2,200,0.155,0.8615,0.065,0.0388
15,FakeManilaV2,19,3,300,0.1267,0.8849,0.0283,0.0234
15,FakeManilaV2,19,4,400,0.1325,0.8777,0.0058,0.0072
15,FakeManilaV2,19,5,500,0.136,0.882,0.0035,0.0042
15,FakeManilaV2,19,6,600,0.1317,0.8822,0.0043,0.0002
15,FakeManilaV2,19,7,700,0.14,0.8773,0.0083,0.0049
15,FakeManilaV2,19,8,800,0.1338,0.8754,0.0063,0.0019
15,FakeManilaV2,19,9,900,0.1344,0.8708,0.0007,0.0046
15,FakeManilaV2,19,10,1000,0.138,0.8671,0.0036,0.0037
16,FakeManilaV2,0,1,100,0.11,0.983,1.0,1.0
16,FakeManilaV2,0,2,200,0.105,0.9799,0.005,0.003
16,FakeManilaV2,0,3,300,0.0967,0.9853,0.0083,0.0054
16,FakeManilaV2,0,4,400,0.09,0.9911,0.0067,0.0058
16,FakeManilaV2,0,5,500,0.076,0.9937,0.014,0.0026
16,FakeManilaV2,0,6,600,0.0683,0.9948,0.0077,0.0011
16,FakeManilaV2,0,7,700,0.0729,0.9945,0.0045,0.0003
16,FakeManilaV2,0,8,800,0.0738,0.9942,0.0009,0.0003
16,FakeManilaV2,0,9,900,0.0778,0.9938,0.004,0.0004
16,FakeManilaV2,0,10,1000,0.069,0.9951,0.0088,0.0014
16,FakeManilaV2,1,1,100,0.18,0.954,1.0,1.0
16,FakeManilaV2,1,2,200,0.14,0.9697,0.04,0.0156
16,FakeManilaV2,1,3,300,0.1067,0.9823,0.0333,0.0127
16,FakeManilaV2,1,4,400,0.0825,0.9884,0.0242,0.0061
16,FakeManilaV2,1,5,500,0.092,0.9878,0.0095,0.0006
16,FakeManilaV2,1,6,600,0.1,0.9857,0.008,0.0021
16,FakeManilaV2,1,7,700,0.1043,0.9841,0.0043,0.0015
