idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
6,FakeLagosV2,13,6,72,0.6806,0.319,0.0361,0.0384
6,FakeLagosV2,13,7,84,0.7024,0.2973,0.0218,0.0216
6,FakeLagosV2,13,8,96,0.6979,0.302,0.0045,0.0047
6,FakeLagosV2,13,9,108,0.7222,0.2775,0.0243,0.0245
6,FakeLagosV2,13,10,128,0.7188,0.2812,0.0035,0.0037
6,FakeLagosV2,14,1,12,0.75,0.1325,1.0,1.0
6,FakeLagosV2,14,2,24,0.75,0.223,0.0,0.0905
6,FakeLagosV2,14,3,36,0.75,0.2451,0.0,0.0221
6,FakeLagosV2,14,4,48,0.6875,0.3109,0.0625,0.0658
6,FakeLagosV2,14,5,60,0.7333,0.2642,0.0458,0.0467
6,FakeLagosV2,14,6,72,0.7222,0.2736,0.0111,0.0094
6,FakeLagosV2,14,7,84,0.7143,0.2831,0.0079,0.0094
6,FakeLagosV2,14,8,96,0.7396,0.2591,0.0253,0.024
6,FakeLagosV2,14,9,108,0.75,0.2475,0.0104,0.0117
6,FakeLagosV2,14,10,128,0.7578,0.2405,0.0078,0.007
6,FakeLagosV2,15,1,12,0.8333,0.08,1.0,1.0
6,FakeLagosV2,15,2,24,0.9167,0.04,0.0833,0.04
6,FakeLagosV2,15,3,36,0.8889,0.0533,0.0278,0.0133
6,FakeLagosV2,15,4,48,0.8333,0.1538,0.0556,0.1004
6,FakeLagosV2,15,5,60,0.7833,0.2127,0.05,0.0589
6,FakeLagosV2,15,6,72,0.7917,0.2053,0.0083,0.0073
6,FakeLagosV2,15,7,84,0.7976,0.2019,0.006,0.0034
6,FakeLagosV2,15,8,96,0.8125,0.1864,0.0149,0.0155
6,FakeLagosV2,15,9,108,0.7963,0.2036,0.0162,0.0171
6,FakeLagosV2,15,10,128,0.7969,0.2025,0.0006,0.0011
6,FakeLagosV2,16,1,12,0.5,0.4992,1.0,1.0
6,FakeLagosV2,16,2,24,0.7083,0.288,0.2083,0.2112
6,FakeLagosV2,16,3,36,0.6111,0.3446,0.0972,0.0566
6,FakeLagosV2,16,4,48,0.6667,0.288,0.0556,0.0566
6,FakeLagosV2,16,5,60,0.6667,0.3136,0.0,0.0256
6,FakeLagosV2,16,6,72,0.6806,0.2934,0.0139,0.0202
6,FakeLagosV2,16,7,84,0.6905,0.2859,0.0099,0.0075
6,FakeLagosV2,16,8,96,0.7083,0.2774,0.0179,0.0085
6,FakeLagosV2,16,9,108,0.7037,0.2806,0.0046,0.0032
6,FakeLagosV2,16,10,128,0.7031,0.2851,0.0006,0.0045
6,FakeLagosV2,17,1,12,0.4167,0.5643,1.0,1.0
6,FakeLagosV2,17,2,24,0.5417,0.441,0.125,0.1234
6,FakeLagosV2,17,3,36,0.6389,0.34,0.0972,0.101
6,FakeLagosV2,17,4,48,0.7083,0.2822,0.0694,0.0578
6,FakeLagosV2,17,5,60,0.7333,0.2647,0.025,0.0175
6,FakeLagosV2,17,6,72,0.7222,0.2768,0.0111,0.0121
6,FakeLagosV2,17,7,84,0.7381,0.2612,0.0159,0.0155
6,FakeLagosV2,17,8,96,0.7396,0.2595,0.0015,0.0018
6,FakeLagosV2,17,9,108,0.7407,0.2581,0.0012,0.0014
6,FakeLagosV2,17,10,128,0.75,0.2481,0.0093,0.0099
6,FakeLagosV2,18,1,12,0.8333,0.1658,1.0,1.0
6,FakeLagosV2,18,2,24,0.6667,0.2979,0.1667,0.1321
6,FakeLagosV2,18,3,36,0.6389,0.3487,0.0278,0.0508
6,FakeLagosV2,18,4,48,0.7083,0.2784,0.0694,0.0703
6,FakeLagosV2,18,5,60,0.6833,0.2859,0.025,0.0075
6,FakeLagosV2,18,6,72,0.6944,0.2778,0.0111,0.0081
6,FakeLagosV2,18,7,84,0.6905,0.2879,0.004,0.0101
6,FakeLagosV2,18,8,96,0.6562,0.3243,0.0342,0.0364
6,FakeLagosV2,18,9,108,0.6481,0.3334,0.0081,0.0091
6,FakeLagosV2,18,10,128,0.6562,0.3348,0.0081,0.0014
6,FakeLagosV2,19,1,12,0.6667,0.2958,1.0,1.0
6,FakeLagosV2,19,2,24,0.75,0.2036,0.0833,0.0922
6,FakeLagosV2,19,3,36,0.8056,0.1773,0.0556,0.0264
6,FakeLagosV2,19,4,48,0.7917,0.2016,0.0139,0.0243
6,FakeLagosV2,19,5,60,0.8,0.1947,0.0083,0.0069
6,FakeLagosV2,19,6,72,0.7639,0.2294,0.0361,0.0348
6,FakeLagosV2,19,7,84,0.7619,0.2304,0.002,0.0009
6,FakeLagosV2,19,8,96,0.7708,0.2184,0.0089,0.012
6,FakeLagosV2,19,9,108,0.7685,0.2157,0.0023,0.0027
6,FakeLagosV2,19,10,128,0.7891,0.198,0.0205,0.0177
8,FakeLagosV2,0,1,50,0.3,0.8422,1.0,1.0
8,FakeLagosV2,0,2,100,0.26,0.8776,0.04,0.0354
8,FakeLagosV2,0,3,150,0.2167,0.9174,0.0433,0.0398
8,FakeLagosV2,0,4,200,0.205,0.9274,0.0117,0.0099
8,FakeLagosV2,0,5,250,0.174,0.9467,0.031,0.0193
8,FakeLagosV2,0,6,300,0.1733,0.9436,0.0007,0.0031
