idx,name,n_qubits,n_states,shots_per_checkpoint,cp1_us,cp2_us,cp3_us,cp4_us,cp5_us
2,GHZ-3,3,8,819,5.9800,5.9800,5.9800,5.9800,5.9800
6,GHZ-6,6,64,12,3.5000,3.5500,3.5700,3.5700,3.5600
7,GHZ-8,8,256,3,12.7900,12.8100,12.8310,12.8700,12.8900
14,VQE BeH2 14Q,14,16384,409,834.1185,836.6235,839.4390,842.4980,845.6090
22,QML Image Class 14Q,14,16384,40,822.6380,823.0280,823.4580,823.7280,824.0480
23,VQE SrH PDM 12Q,12,4096,400,215.5075,217.1420,218.8920,220.1620,220.6725
