idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
2,FakeAlgiers,4,5,4095,0.0352,0.9647,0.0024,0.0024
2,FakeAlgiers,4,6,4914,0.0346,0.9653,0.0006,0.0006
2,FakeAlgiers,4,7,5733,0.0331,0.9668,0.0015,0.0015
2,FakeAlgiers,4,8,6552,0.0342,0.9657,0.001,0.001
2,FakeAlgiers,4,9,7371,0.0341,0.9659,0.0001,0.0001
2,FakeAlgiers,4,10,8192,0.0348,0.9651,0.0007,0.0007
2,FakeAlgiers,5,1,819,0.033,0.967,1.0,1.0
2,FakeAlgiers,5,2,1638,0.0293,0.9707,0.0037,0.0037
2,FakeAlgiers,5,3,2457,0.0313,0.9686,0.002,0.0021
2,FakeAlgiers,5,4,3276,0.0342,0.9658,0.0028,0.0029
2,FakeAlgiers,5,5,4095,0.033,0.967,0.0012,0.0013
2,FakeAlgiers,5,6,4914,0.0334,0.9666,0.0004,0.0004
2,FakeAlgiers,5,7,5733,0.0338,0.9662,0.0005,0.0005
2,FakeAlgiers,5,8,6552,0.0331,0.9669,0.0007,0.0007
2,FakeAlgiers,5,9,7371,0.032,0.968,0.0011,0.0011
2,FakeAlgiers,5,10,8192,0.0319,0.9681,0.0002,0.0002
2,FakeAlgiers,6,1,819,0.0372,0.969,1.0,1.0
2,FakeAlgiers,6,2,1638,0.0324,0.9676,0.0049,0.0013
2,FakeAlgiers,6,3,2457,0.0342,0.9658,0.0018,0.0019
2,FakeAlgiers,6,4,3276,0.033,0.967,0.0012,0.0013
2,FakeAlgiers,6,5,4095,0.0344,0.9656,0.0015,0.0015
2,FakeAlgiers,6,6,4914,0.035,0.965,0.0006,0.0006
2,FakeAlgiers,6,7,5733,0.0335,0.9665,0.0015,0.0015
2,FakeAlgiers,6,8,6552,0.0336,0.9664,0.0001,0.0001
2,FakeAlgiers,6,9,7371,0.0338,0.9662,0.0002,0.0002
2,FakeAlgiers,6,10,8192,0.033,0.967,0.0008,0.0008
2,FakeAlgiers,7,1,819,0.0391,0.9609,1.0,1.0
2,FakeAlgiers,7,2,1638,0.0287,0.9712,0.0104,0.0103
2,FakeAlgiers,7,3,2457,0.0289,0.9711,0.0002,0.0001
2,FakeAlgiers,7,4,3276,0.0314,0.9685,0.0025,0.0025
2,FakeAlgiers,7,5,4095,0.03,0.97,0.0014,0.0014
2,FakeAlgiers,7,6,4914,0.0324,0.9676,0.0023,0.0023
2,FakeAlgiers,7,7,5733,0.0316,0.9684,0.0008,0.0008
2,FakeAlgiers,7,8,6552,0.0325,0.9675,0.0009,0.0009
2,FakeAlgiers,7,9,7371,0.0328,0.9672,0.0003,0.0003
2,FakeAlgiers,7,10,8192,0.0328,0.9672,0.0,0.0
2,FakeAlgiers,8,1,819,0.0415,0.9581,1.0,1.0
2,FakeAlgiers,8,2,1638,0.0391,0.9606,0.0024,0.0025
2,FakeAlgiers,8,3,2457,0.0334,0.9664,0.0057,0.0058
2,FakeAlgiers,8,4,3276,0.0327,0.9673,0.0007,0.0009
2,FakeAlgiers,8,5,4095,0.0322,0.9677,0.0004,0.0004
2,FakeAlgiers,8,6,4914,0.0322,0.9678,0.0001,0.0001
2,FakeAlgiers,8,7,5733,0.0321,0.9678,0.0001,0.0001
2,FakeAlgiers,8,8,6552,0.0311,0.9688,0.001,0.001
2,FakeAlgiers,8,9,7371,0.0296,0.9704,0.0016,0.0015
