idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
1,FakeManilaV2,27,4,9828,0.0646,0.9354,0.0007,0.0007
1,FakeManilaV2,27,5,12285,0.0637,0.9363,0.0009,0.0009
1,FakeManilaV2,27,6,14742,0.0617,0.9383,0.002,0.002
1,FakeManilaV2,27,7,17199,0.0612,0.9388,0.0006,0.0006
1,FakeManilaV2,27,8,19656,0.0613,0.9387,0.0001,0.0001
1,FakeManilaV2,27,9,22113,0.0604,0.9396,0.0008,0.0008
1,FakeManilaV2,27,10,24576,0.0602,0.9398,0.0002,0.0002
1,FakeManilaV2,28,1,2457,0.0582,0.9416,1.0,1.0
1,FakeManilaV2,28,2,4914,0.0582,0.9418,0.0,0.0002
1,FakeManilaV2,28,3,7371,0.0587,0.9412,0.0005,0.0005
1,FakeManilaV2,28,4,9828,0.0588,0.9412,0.0001,0.0001
1,FakeManilaV2,28,5,12285,0.0602,0.9398,0.0014,0.0014
1,FakeManilaV2,28,6,14742,0.0611,0.9389,0.0009,0.0009
1,FakeManilaV2,28,7,17199,0.0599,0.94,0.0012,0.0012
1,FakeManilaV2,28,8,19656,0.0598,0.9401,0.0001,0.0001
1,FakeManilaV2,28,9,22113,0.0601,0.9399,0.0002,0.0002
1,FakeManilaV2,28,10,24576,0.0614,0.9385,0.0014,0.0014
1,FakeManilaV2,29,1,2457,0.0655,0.9345,1.0,1.0
1,FakeManilaV2,29,2,4914,0.0543,0.9456,0.0112,0.0112
1,FakeManilaV2,29,3,7371,0.0589,0.9411,0.0045,0.0045
1,FakeManilaV2,29,4,9828,0.0603,0.9397,0.0015,0.0015
1,FakeManilaV2,29,5,12285,0.0595,0.9405,0.0008,0.0008
1,FakeManilaV2,29,6,14742,0.0595,0.9405,0.0,0.0
1,FakeManilaV2,29,7,17199,0.0591,0.9409,0.0004,0.0004
1,FakeManilaV2,29,8,19656,0.0603,0.9397,0.0012,0.0012
1,FakeManilaV2,29,9,22113,0.0601,0.9399,0.0002,0.0002
1,FakeManilaV2,29,10,24576,0.0594,0.9406,0.0006,0.0006
1,FakeManilaV2,30,1,2457,0.0586,0.9414,1.0,1.0
1,FakeManilaV2,30,2,4914,0.0584,0.9416,0.0002,0.0002
1,FakeManilaV2,30,3,7371,0.0587,0.9412,0.0003,0.0004
1,FakeManilaV2,30,4,9828,0.0585,0.9415,0.0002,0.0003
1,FakeManilaV2,30,5,12285,0.0586,0.9414,0.0001,0.0001
1,FakeManilaV2,30,6,14742,0.0578,0.9422,0.0008,0.0008
1,FakeManilaV2,30,7,17199,0.0587,0.9413,0.0009,0.0009
1,FakeManilaV2,30,8,19656,0.0609,0.939,0.0022,0.0022
1,FakeManilaV2,30,9,22113,0.0625,0.9375,0.0015,0.0016
1,FakeManilaV2,30,10,24576,0.0631,0.9369,0.0006,0.0006
1,FakeManilaV2,31,1,2457,0.0533,0.9466,1.0,1.0
1,FakeManilaV2,31,2,4914,0.0576,0.9423,0.0043,0.0043
1,FakeManilaV2,31,3,7371,0.0581,0.9419,0.0005,0.0004
1,FakeManilaV2,31,4,9828,0.0609,0.9391,0.0029,0.0029
1,FakeManilaV2,31,5,12285,0.0624,0.9376,0.0015,0.0015
1,FakeManilaV2,31,6,14742,0.0627,0.9372,0.0003,0.0003
1,FakeManilaV2,31,7,17199,0.0622,0.9378,0.0005,0.0005
1,FakeManilaV2,31,8,19656,0.0625,0.9375,0.0003,0.0003
1,FakeManilaV2,31,9,22113,0.0615,0.9384,0.001,0.001
1,FakeManilaV2,31,10,24576,0.0611,0.9389,0.0005,0.0005
1,FakeManilaV2,32,1,2457,0.0598,0.9401,1.0,1.0
1,FakeManilaV2,32,2,4914,0.0617,0.9381,0.0018,0.002
1,FakeManilaV2,32,3,7371,0.0625,0.9374,0.0009,0.0007
1,FakeManilaV2,32,4,9828,0.0633,0.9367,0.0007,0.0007
1,FakeManilaV2,32,5,12285,0.0646,0.9354,0.0013,0.0012
1,FakeManilaV2,32,6,14742,0.0645,0.9355,0.0,0.0
1,FakeManilaV2,32,7,17199,0.0631,0.9369,0.0014,0.0014
1,FakeManilaV2,32,8,19656,0.0636,0.9363,0.0006,0.0006
1,FakeManilaV2,32,9,22113,0.0634,0.9366,0.0003,0.0003
1,FakeManilaV2,32,10,24576,0.0625,0.9374,0.0008,0.0008
1,FakeManilaV2,33,1,2457,0.0582,0.9418,1.0,1.0
1,FakeManilaV2,33,2,4914,0.0637,0.9363,0.0055,0.0055
1,FakeManilaV2,33,3,7371,0.0634,0.9366,0.0003,0.0004
1,FakeManilaV2,33,4,9828,0.063,0.937,0.0004,0.0004
1,FakeManilaV2,33,5,12285,0.0625,0.9375,0.0005,0.0005
1,FakeManilaV2,33,6,14742,0.0635,0.9365,0.001,0.001
1,FakeManilaV2,33,7,17199,0.0629,0.9371,0.0006,0.0007
1,FakeManilaV2,33,8,19656,0.0622,0.9378,0.0007,0.0007
1,FakeManilaV2,33,9,22113,0.0624,0.9376,0.0002,0.0002
1,FakeManilaV2,33,10,24576,0.0627,0.9373,0.0003,0.0002
1,FakeManilaV2,34,1,2457,0.0598,0.9401,1.0,1.0
1,FakeManilaV2,34,2,4914,0.0574,0.9425,0.0024,0.0024
1,FakeManilaV2,34,3,7371,0.0592,0.9408,0.0018,0.0017
1,FakeManilaV2,34,4,9828,0.0597,0.9403,0.0006,0.0006
1,FakeManilaV2,34,5,12285,0.0606,0.9393,0.0009,0.0009
1,FakeManilaV2,34,6,14742,0.0621,0.9379,0.0014,0.0015
1,FakeManilaV2,34,7,17199,0.0623,0.9376,0.0002,0.0003
1,FakeManilaV2,34,8,19656,0.0623,0.9376,0.0001,0.0
1,FakeManilaV2,34,9,22113,0.0616,0.9383,0.0007,0.0007
1,FakeManilaV2,34,10,24576,0.062,0.938,0.0004,0.0004
1,FakeManilaV2,35,1,2457,0.0558,0.9442,1.0,1.0
1,FakeManilaV2,35,2,4914,0.0631,0.9369,0.0073,0.0073
1,FakeManilaV2,35,3,7371,0.0615,0.9385,0.0016,0.0016
1,FakeManilaV2,35,4,9828,0.0615,0.9385,0.0,0.0
1,FakeManilaV2,35,5,12285,0.06,0.94,0.0015,0.0015
1,FakeManilaV2,35,6,14742,0.0594,0.9406,0.0006,0.0006
1,FakeManilaV2,35,7,17199,0.0601,0.9399,0.0007,0.0007
1,FakeManilaV2,35,8,19656,0.0609,0.939,0.0008,0.0008
