run_id,tag,workload_id,repeat,group_index,n_groups,cnr,cnr_wait_cycles,status
c3_14q_physcal1-c3-phys3_n1000_prefill16-r0-1789951108,c3_14q_physcal1,phys3_n1000_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys3_n6941_prefill16-r-1-1789951111,c3_14q_physcal1,phys3_n6941_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys3_n6941_prefill16-r0-1789951125,c3_14q_physcal1,phys3_n6941_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys3_n1000_prefill16-r-1-1789951139,c3_14q_physcal1,phys3_n1000_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys3_n1000_prefill16-r0-1789951141,c3_14q_physcal1,phys3_n1000_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys3_n3970_prefill16-r-1-1789951144,c3_14q_physcal1,phys3_n3970_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys3_n3970_prefill16-r0-1789951152,c3_14q_physcal1,phys3_n3970_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n231769_prefill16-r-1-1789951160,c3_14q_physcal1,phys4_n231769_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n231769_prefill16-r0-1789951162,c3_14q_physcal1,phys4_n231769_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n462539_prefill16-r-1-1789951165,c3_14q_physcal1,phys4_n462539_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n462539_prefill16-r0-1789951169,c3_14q_physcal1,phys4_n462539_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n1000_prefill16-r-1-1789951174,c3_14q_physcal1,phys4_n1000_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n1000_prefill16-r0-1789951174,c3_14q_physcal1,phys4_n1000_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n1000_prefill16-r-1-1789951174,c3_14q_physcal1,phys4_n1000_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n1000_prefill16-r0-1789951174,c3_14q_physcal1,phys4_n1000_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n231769_prefill16-r-1-1789951175,c3_14q_physcal1,phys4_n231769_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n231769_prefill16-r0-1789951177,c3_14q_physcal1,phys4_n231769_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n462539_prefill16-r-1-1789951179,c3_14q_physcal1,phys4_n462539_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n462539_prefill16-r0-1789951183,c3_14q_physcal1,phys4_n462539_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n1000_prefill16-r-1-1789951188,c3_14q_physcal1,phys4_n1000_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n1000_prefill16-r0-1789951188,c3_14q_physcal1,phys4_n1000_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n231769_prefill16-r-1-1789951189,c3_14q_physcal1,phys4_n231769_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n231769_prefill16-r0-1789951191,c3_14q_physcal1,phys4_n231769_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n462539_prefill16-r-1-1789951193,c3_14q_physcal1,phys4_n462539_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n462539_prefill16-r0-1789951197,c3_14q_physcal1,phys4_n462539_prefill16,0,0,1,0,0,ok
c3_14q_phys4_start16-c3-phys5_prefill16-r-1-1789951202,c3_14q_phys4_start16,phys5_prefill16,-1,0,1,0,1,ok
c3_14q_phys4_start16-c3-phys5_prefill16-r0-1789951204,c3_14q_phys4_start16,phys5_prefill16,0,0,1,0,1,ok
c3_14q_phys4_start16-c3-phys5_prefill16-r1-1789951204,c3_14q_phys4_start16,phys5_prefill16,1,0,1,0,1,ok
c3_14q_phys4_start16-c3-phys5_prefill16-r2-1789951204,c3_14q_phys4_start16,phys5_prefill16,2,0,1,0,1,ok
