wall_time,bitfile,software_commit,idx,name,per_shot_compiled_us,repeat,shots,elapsed_ms
2026-09-24T00:19:05,build_0071783e_20260829023649,7de69de,1,Bell state (GHZ-2),8.5840,-1,100,3.321974
2026-09-24T00:19:05,build_0071783e_20260829023649,7de69de,1,Bell state (GHZ-2),8.5840,0,100,3.299163
2026-09-24T00:19:06,build_0071783e_20260829023649,7de69de,1,Bell state (GHZ-2),8.5840,0,50100,440.780959
2026-09-24T00:19:06,build_0071783e_20260829023649,7de69de,1,Bell state (GHZ-2),8.5840,1,100,3.287863
2026-09-24T00:19:06,build_0071783e_20260829023649,7de69de,1,Bell state (GHZ-2),8.5840,1,50100,440.802849
2026-09-24T00:19:06,build_0071783e_20260829023649,7de69de,1,Bell state (GHZ-2),8.5840,2,100,3.298303
2026-09-24T00:19:07,build_0071783e_20260829023649,7de69de,1,Bell state (GHZ-2),8.5840,2,50100,440.842789
2026-09-24T00:19:07,build_0071783e_20260829023649,7de69de,2,GHZ-3,11.7140,-1,100,4.383153
2026-09-24T00:19:07,build_0071783e_20260829023649,7de69de,2,GHZ-3,11.7140,0,100,4.382994
2026-09-24T00:19:08,build_0071783e_20260829023649,7de69de,2,GHZ-3,11.7140,0,50100,597.607117
2026-09-24T00:19:08,build_0071783e_20260829023649,7de69de,2,GHZ-3,11.7140,1,100,4.362873
2026-09-24T00:19:08,build_0071783e_20260829023649,7de69de,2,GHZ-3,11.7140,1,50100,597.576876
2026-09-24T00:19:09,build_0071783e_20260829023649,7de69de,2,GHZ-3,11.7140,2,100,4.345104
2026-09-24T00:19:09,build_0071783e_20260829023649,7de69de,2,GHZ-3,11.7140,2,50100,597.523826
2026-09-24T00:19:09,build_0071783e_20260829023649,7de69de,3,VQE HeH+ 2Q,8.5840,-1,100,3.331533
2026-09-24T00:19:09,build_0071783e_20260829023649,7de69de,3,VQE HeH+ 2Q,8.5840,0,100,3.304903
2026-09-24T00:19:10,build_0071783e_20260829023649,7de69de,3,VQE HeH+ 2Q,8.5840,0,50100,440.781468
2026-09-24T00:19:10,build_0071783e_20260829023649,7de69de,3,VQE HeH+ 2Q,8.5840,1,100,3.292873
2026-09-24T00:19:10,build_0071783e_20260829023649,7de69de,3,VQE HeH+ 2Q,8.5840,1,50100,440.822429
2026-09-24T00:19:11,build_0071783e_20260829023649,7de69de,3,VQE HeH+ 2Q,8.5840,2,100,3.304343
2026-09-24T00:19:11,build_0071783e_20260829023649,7de69de,3,VQE HeH+ 2Q,8.5840,2,50100,440.785718
