mode,workload,workload_id,population,sur_n,sur_mean_ms,sur_sd_ms,sur_qpu_ms,real_n,real_mean_ms,real_sd_ms,real_qpu_ms,n_groups,diff_ms,ci95_lo_ms,ci95_hi_ms,welch_df,margin_ms,verdict
std,batch,rand20_t6,descriptive,5,1499.5057,0.1103,1127.8979,5,1919.4427,0.2364,1127.9741,1,419.9371,419.6516,420.2226,5.7,11.2797,
std,batch,rand20_t7,descriptive,5,1597.8772,0.5557,1274.3496,5,2012.6948,0.6159,1274.4202,1,414.8176,413.9621,415.6731,7.9,12.7442,
std,batch,rand20_t8,descriptive,5,1674.6516,0.2737,1305.8993,5,2169.5762,0.1830,1306.0361,1,494.9247,494.5764,495.2729,7.0,13.0604,
std,batch,rand20_t9,descriptive,5,1926.8127,0.3241,1472.2518,5,2476.2202,0.1320,1472.5207,1,549.4075,549.0052,549.8099,5.3,14.7252,
std,batch,rand30_t0,descriptive,5,3739.2195,0.4033,3027.1680,5,4684.3696,0.1530,3027.4219,1,945.1501,944.6541,945.6460,5.1,30.2742,
std,batch,rand30_t1,descriptive,5,2803.8833,0.1242,2245.6027,5,3558.9347,1.0382,2245.8436,1,755.0514,753.7533,756.3496,4.1,22.4584,
std,batch,rand30_t2,descriptive,5,2496.2554,0.5849,1925.4158,5,3240.2842,0.6073,1925.6799,1,744.0288,743.1593,744.8984,8.0,19.2568,
std,batch,rand30_t3,descriptive,5,3148.3628,0.1102,2464.9788,5,4011.4762,0.5221,2465.2663,1,863.1134,862.4509,863.7758,4.4,24.6527,
std,batch,rand30_t4,descriptive,5,2848.0374,0.5408,2271.0409,5,3623.2668,0.8378,2271.1510,1,775.2294,774.1748,776.2841,6.8,22.7115,
std,batch,rand30_t5,descriptive,5,2818.0704,0.2408,2272.6140,5,3515.3748,0.1080,2272.7094,1,697.3044,697.0156,697.5932,5.5,22.7271,
std,batch,rand30_t6,descriptive,5,2926.2109,0.8421,2193.4908,5,3820.0894,0.3767,2193.9864,1,893.8786,892.8690,894.8882,5.5,21.9399,
