run_id,tag,workload_id,repeat,group_index,n_groups,cnr,cnr_wait_cycles,status
c3_14q_physcal1-c3-phys4_n462539-r-1-1788334871,c3_14q_physcal1,phys4_n462539,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n462539-r0-1788334875,c3_14q_physcal1,phys4_n462539,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n1000-r-1-1788334880,c3_14q_physcal1,phys4_n1000,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n1000-r0-1788334880,c3_14q_physcal1,phys4_n1000,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n231769-r-1-1788334880,c3_14q_physcal1,phys4_n231769,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n231769-r0-1788334882,c3_14q_physcal1,phys4_n231769,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n462539-r-1-1788334885,c3_14q_physcal1,phys4_n462539,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys4_n462539-r0-1788334889,c3_14q_physcal1,phys4_n462539,0,0,1,0,0,ok
c3_14q_physctrl1-c3-phys5_ctrl1800p_cap1802-r-1-1788337237,c3_14q_physctrl1,phys5_ctrl1800p_cap1802,-1,0,1,1,8707,ok
c3_14q_physctrl1-c3-phys5_ctrl1800p_cap1802-r0-1788337237,c3_14q_physctrl1,phys5_ctrl1800p_cap1802,0,0,1,1,8726,ok
c3_14q_physctrl1-c3-phys5_ctrl1800p_cap1802-r1-1788337237,c3_14q_physctrl1,phys5_ctrl1800p_cap1802,1,0,1,1,8450,ok
c3_14q_physctrl1-c3-phys5_ctrl1800p_cap1802-r2-1788337237,c3_14q_physctrl1,phys5_ctrl1800p_cap1802,2,0,1,1,8707,ok
c3_14q_phys1-c3-phys5-r-1-1788337549,c3_14q_phys1,phys5,-1,0,1,1,7458,ok
c3_14q_phys1-c3-phys5-r0-1788337550,c3_14q_phys1,phys5,0,0,1,1,6744,ok
c3_14q_phys1-c3-phys5-r1-1788337551,c3_14q_phys1,phys5,1,0,1,1,7302,ok
c3_14q_phys1-c3-phys5-r2-1788337551,c3_14q_phys1,phys5,2,0,1,1,7660,ok
c3_14q_phys1-c3-phys6-r-1-1788337552,c3_14q_phys1,phys6,-1,0,1,0,1,ok
c3_14q_phys1-c3-phys6-r0-1788337556,c3_14q_phys1,phys6,0,0,1,0,1,ok
c3_14q_phys1-c3-phys6-r1-1788337558,c3_14q_phys1,phys6,1,0,1,0,1,ok
c3_14q_phys1-c3-phys6-r2-1788337561,c3_14q_phys1,phys6,2,0,1,0,1,ok
c3_14q_physctrl1-c3-phys5_ctrl1800p_cap1802-r-1-1788337564,c3_14q_physctrl1,phys5_ctrl1800p_cap1802,-1,0,1,1,8768,ok
c3_14q_physctrl1-c3-phys5_ctrl1800p_cap1802-r0-1788337564,c3_14q_physctrl1,phys5_ctrl1800p_cap1802,0,0,1,1,8790,ok
c3_14q_physctrl1-c3-phys5_ctrl1800p_cap1802-r1-1788337564,c3_14q_physctrl1,phys5_ctrl1800p_cap1802,1,0,1,1,8918,ok
c3_14q_physctrl1-c3-phys5_ctrl1800p_cap1802-r2-1788337564,c3_14q_physctrl1,phys5_ctrl1800p_cap1802,2,0,1,1,8773,ok
c3_14q_physctrl1-c3-phys5_ctrl1800p_cap902-r-1-1788337565,c3_14q_physctrl1,phys5_ctrl1800p_cap902,-1,0,1,1,19992,ok
c3_14q_physctrl1-c3-phys5_ctrl1800p_cap902-r0-1788337566,c3_14q_physctrl1,phys5_ctrl1800p_cap902,0,0,1,1,19099,ok
c3_14q_physctrl1-c3-phys5_ctrl1800p_cap902-r1-1788337566,c3_14q_physctrl1,phys5_ctrl1800p_cap902,1,0,1,1,19184,ok
c3_14q_physctrl1-c3-phys5_ctrl1800p_cap902-r2-1788337566,c3_14q_physctrl1,phys5_ctrl1800p_cap902,2,0,1,1,19333,ok
c3_14q_phys2-c3-phys5-r-1-1788337652,c3_14q_phys2,phys5,-1,0,1,1,7061,ok
c3_14q_phys2-c3-phys5-r0-1788337653,c3_14q_phys2,phys5,0,0,1,1,6861,ok
c3_14q_phys2-c3-phys5-r1-1788337654,c3_14q_phys2,phys5,1,0,1,1,7344,ok
c3_14q_phys2-c3-phys5-r2-1788337654,c3_14q_phys2,phys5,2,0,1,1,7011,ok
c3_14q_phys2-c3-phys6-r-1-1788337655,c3_14q_phys2,phys6,-1,0,1,0,1,ok
c3_14q_phys2-c3-phys6-r0-1788337659,c3_14q_phys2,phys6,0,0,1,0,1,ok
c3_14q_phys2-c3-phys6-r1-1788337661,c3_14q_phys2,phys6,1,0,1,0,1,ok
c3_14q_phys2-c3-phys6-r2-1788337664,c3_14q_phys2,phys6,2,0,1,0,1,ok
c3_14q_physctrl2-c3-phys5_ctrl1800p_cap1802-r-1-1788337667,c3_14q_physctrl2,phys5_ctrl1800p_cap1802,-1,0,1,1,8617,ok
c3_14q_physctrl2-c3-phys5_ctrl1800p_cap1802-r0-1788337667,c3_14q_physctrl2,phys5_ctrl1800p_cap1802,0,0,1,1,7862,ok
c3_14q_physctrl2-c3-phys5_ctrl1800p_cap1802-r1-1788337667,c3_14q_physctrl2,phys5_ctrl1800p_cap1802,1,0,1,1,8089,ok
c3_14q_physctrl2-c3-phys5_ctrl1800p_cap1802-r2-1788337667,c3_14q_physctrl2,phys5_ctrl1800p_cap1802,2,0,1,1,8882,ok
c3_14q_physctrl2-c3-phys5_ctrl1800p_cap902-r-1-1788337668,c3_14q_physctrl2,phys5_ctrl1800p_cap902,-1,0,1,1,19934,ok
c3_14q_physctrl2-c3-phys5_ctrl1800p_cap902-r0-1788337668,c3_14q_physctrl2,phys5_ctrl1800p_cap902,0,0,1,1,19998,ok
c3_14q_physctrl2-c3-phys5_ctrl1800p_cap902-r1-1788337669,c3_14q_physctrl2,phys5_ctrl1800p_cap902,1,0,1,1,19949,ok
c3_14q_physctrl2-c3-phys5_ctrl1800p_cap902-r2-1788337669,c3_14q_physctrl2,phys5_ctrl1800p_cap902,2,0,1,1,18990,ok
c3_14q_stop_poll0d_warmup-c3-2-r-1-1788337678,c3_14q_stop_poll0d_warmup,2,-1,0,1,0,0,ok
c3_14q_stop_poll0d_warmup-c3-2-r-1-1788337678,c3_14q_stop_poll0d_warmup,2,-1,0,1,0,0,ok
c3_14q_stop_poll0d_warmup-c3-10-r-1-1788337679,c3_14q_stop_poll0d_warmup,10,-1,0,1,0,0,ok
c3_14q_stop_poll0d_warmup-c3-10-r-1-1788337680,c3_14q_stop_poll0d_warmup,10,-1,0,1,0,0,ok
c3_14q_stop_poll0d-c3-2-r0-1788337680,c3_14q_stop_poll0d,2,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-2-r0-1788337681,c3_14q_stop_poll0d,2,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-2-r0-1788337682,c3_14q_stop_poll0d,2,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-2-r0-1788337682,c3_14q_stop_poll0d,2,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-2-r0-1788337683,c3_14q_stop_poll0d,2,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-2-r0-1788337683,c3_14q_stop_poll0d,2,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-2-r0-1788337684,c3_14q_stop_poll0d,2,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-2-r0-1788337685,c3_14q_stop_poll0d,2,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-2-r0-1788337685,c3_14q_stop_poll0d,2,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-2-r0-1788337686,c3_14q_stop_poll0d,2,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-10-r0-1788337686,c3_14q_stop_poll0d,10,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-10-r0-1788337687,c3_14q_stop_poll0d,10,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-10-r0-1788337688,c3_14q_stop_poll0d,10,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-10-r0-1788337688,c3_14q_stop_poll0d,10,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-10-r0-1788337689,c3_14q_stop_poll0d,10,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-10-r0-1788337690,c3_14q_stop_poll0d,10,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-10-r0-1788337690,c3_14q_stop_poll0d,10,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-10-r0-1788337691,c3_14q_stop_poll0d,10,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-10-r0-1788337692,c3_14q_stop_poll0d,10,0,0,1,0,0,ok
c3_14q_stop_poll0d-c3-10-r0-1788337693,c3_14q_stop_poll0d,10,0,0,1,0,0,ok
c3_14q_floordiag-c3-phys5_ctrl1800p_cap1802_mask0-r-1-1788374575,c3_14q_floordiag,phys5_ctrl1800p_cap1802_mask0,-1,0,1,1,38935,ok
c3_14q_floordiag-c3-phys5_ctrl1800p_cap1802_mask0-r0-1788374576,c3_14q_floordiag,phys5_ctrl1800p_cap1802_mask0,0,0,1,1,40174,ok
c3_14q_floordiag-c3-phys5_ctrl1800p_cap1802_mask0-r1-1788374576,c3_14q_floordiag,phys5_ctrl1800p_cap1802_mask0,1,0,1,1,40434,ok
c3_14q_floordiag-c3-phys5_ctrl1800p_cap1802_mask0-r2-1788374576,c3_14q_floordiag,phys5_ctrl1800p_cap1802_mask0,2,0,1,1,40072,ok
c3_14q_floordiag-c3-phys5_ctrl1800p_cap1802_mask3f80-r-1-1788374577,c3_14q_floordiag,phys5_ctrl1800p_cap1802_mask3f80,-1,0,1,1,9322,ok
c3_14q_floordiag-c3-phys5_ctrl1800p_cap1802_mask3f80-r0-1788374577,c3_14q_floordiag,phys5_ctrl1800p_cap1802_mask3f80,0,0,1,1,8649,ok
c3_14q_floordiag-c3-phys5_ctrl1800p_cap1802_mask3f80-r1-1788374577,c3_14q_floordiag,phys5_ctrl1800p_cap1802_mask3f80,1,0,1,1,9902,ok
c3_14q_floordiag-c3-phys5_ctrl1800p_cap1802_mask3f80-r2-1788374577,c3_14q_floordiag,phys5_ctrl1800p_cap1802_mask3f80,2,0,1,1,8683,ok
c3_14q_floordiag-c3-phys5_ctrl1800p_cap1802_mask3ffc-r-1-1788374578,c3_14q_floordiag,phys5_ctrl1800p_cap1802_mask3ffc,-1,0,1,1,8663,ok
c3_14q_floordiag-c3-phys5_ctrl1800p_cap1802_mask3ffc-r0-1788374578,c3_14q_floordiag,phys5_ctrl1800p_cap1802_mask3ffc,0,0,1,1,8710,ok
