batch_id,n_circuits,qpu_ms,workload_realized_ms,std_n,std_mean_ms,std_sd_ms,std_delta_ms,std_delta_pct,std_delta_real_ms,std_delta_real_pct,std_provisional,std_set_tag,c1_n,c1_mean_ms,c1_sd_ms,c1_delta_ms,c1_delta_pct,c1_delta_real_ms,c1_delta_real_pct,c1_provisional,c1_set_tag,c3_n,c3_mean_ms,c3_sd_ms,c3_delta_ms,c3_delta_pct,c3_delta_real_ms,c3_delta_real_pct,c3_provisional,c3_set_tag
rand20_t8,20,1306.0361,1317.5867,5,2169.5762,0.1830,863.5401,66.12,851.9895,64.66,no,std_14q_real1,5,1532.6406,1.7726,226.6045,17.35,215.0539,16.32,no,c1_14q_real1,5,4971.5470,81.2940,3665.5109,280.66,3653.9603,277.32,no,c3_14q_real2
rand20_t9,20,1472.5207,1488.2194,5,2476.2202,0.1320,1003.6995,68.16,988.0008,66.39,no,std_14q_real1,5,1686.8434,1.2143,214.3227,14.55,198.6240,13.35,no,c1_14q_real1,5,5458.2940,248.1500,3985.7733,270.68,3970.0746,266.77,no,c3_14q_real2
rand30_t0,30,3027.4219,3046.5968,5,4684.3696,0.1530,1656.9477,54.73,1637.7728,53.76,no,std_14q_real1,5,3415.8931,19.4270,388.4712,12.83,369.2962,12.12,no,c1_14q_real1,5,10165.1291,134.2193,7137.7072,235.77,7118.5323,233.66,no,c3_14q_real2
rand30_t1,30,2245.8436,2261.7281,5,3558.9347,1.0382,1313.0911,58.47,1297.2066,57.35,no,std_14q_real1,5,2562.2935,0.5206,316.4499,14.09,300.5654,13.29,no,c1_14q_real1,5,8076.3201,160.6233,5830.4765,259.61,5814.5920,257.09,no,c3_14q_real2
rand30_t2,30,1925.6799,1943.7991,5,3240.2842,0.6073,1314.6043,68.27,1296.4852,66.70,no,std_14q_real1,5,2240.2161,14.4554,314.5362,16.33,296.4170,15.25,no,c1_14q_real1,5,7214.5397,77.5179,5288.8598,274.65,5270.7406,271.16,no,c3_14q_real2
rand30_t3,30,2465.2663,2486.2804,5,4011.4762,0.5221,1546.2099,62.72,1525.1958,61.34,no,std_14q_real1,5,2798.5453,6.2622,333.2790,13.52,312.2649,12.56,no,c1_14q_real1,5,8797.7017,54.6626,6332.4354,256.87,6311.4213,253.85,no,c3_14q_real2
rand30_t4,30,2271.1510,2286.4464,5,3623.2668,0.8378,1352.1158,59.53,1336.8203,58.47,no,std_14q_real1,5,2618.1374,0.4549,346.9864,15.28,331.6909,14.51,no,c1_14q_real1,5,9039.7980,125.1349,6768.6470,298.03,6753.3515,295.36,no,c3_14q_real2
rand30_t5,30,2272.7094,2286.4399,5,3515.3748,0.1080,1242.6654,54.68,1228.9349,53.75,no,std_14q_real1,5,2595.2707,19.7108,322.5613,14.19,308.8308,13.51,no,c1_14q_real1,5,8915.0303,160.5226,6642.3209,292.26,6628.5904,289.91,no,c3_14q_real2
rand30_t6,30,2193.9864,2220.4352,5,3820.0894,0.3767,1626.1030,74.12,1599.6542,72.04,no,std_14q_real1,5,2484.7159,19.2260,290.7295,13.25,264.2806,11.90,no,c1_14q_real1,5,8677.6089,591.2785,6483.6225,295.52,6457.1737,290.81,no,c3_14q_real2
rand30_t7,30,4041.8606,4068.7376,5,6211.3066,1.0269,2169.4460,53.67,2142.5690,52.66,no,std_14q_real1,5,4441.9824,35.4649,400.1218,9.90,373.2448,9.17,no,c1_14q_real1,5,11276.5233,115.3822,7234.6627,178.99,7207.7856,177.15,no,c3_14q_real2
rand30_t8,30,2492.0956,2510.5651,5,4012.4586,0.4967,1520.3630,61.01,1501.8935,59.82,no,std_14q_real1,5,2865.9647,26.7621,373.8691,15.00,355.3996,14.16,no,c1_14q_real1,5,9198.1097,427.7188,6706.0141,269.09,6687.5446,266.38,no,c3_14q_real2
rand30_t9,30,2079.8393,2096.8473,5,3401.8107,0.8051,1321.9714,63.56,1304.9634,62.23,no,std_14q_real1,5,2406.0877,18.7619,326.2484,15.69,309.2405,14.75,no,c1_14q_real1,5,9924.3110,504.2580,7844.4717,377.17,7827.4638,373.30,no,c3_14q_real2
rand10_aggregate(mean over batches; sd across batches),,,,10,1104.7964,421.4954,453.5149,69.63,446.6042,67.85,,,10,755.1472,280.1447,103.8657,15.95,96.9550,14.73,,,10,2369.6005,529.6750,1718.3190,263.84,1711.4083,260.02,,
rand20_aggregate(mean over batches; sd across batches),,,,10,2182.7362,1055.6636,837.8282,62.30,826.4988,60.94,,,10,1555.1091,739.3624,210.2011,15.63,198.8717,14.66,,,10,5176.1294,1063.3373,3831.2214,284.87,3819.8920,281.65,,
rand30_aggregate(mean over batches; sd across batches),,,,10,4007.9372,875.3786,1506.3518,60.22,1487.1496,59.00,,,10,2842.9107,646.4254,341.3253,13.64,322.1231,12.78,,,10,9128.5072,1128.5812,6626.9218,264.91,6607.7196,262.13,,
throughput_gain_c3_vs_std_rand30 = T_std/T_c3 - 1 = -56.09%
