seq,block,image,config,manifest,run_kind,repeat
130,0,C1,c1_native,rand20_t5,measure,3
131,0,C1,c1_native,rand20_t5,measure,4
132,0,C1,c1_native,rand30_t6,warmup,-1
133,0,C1,c1_native,rand30_t6,measure,0
134,0,C1,c1_native,rand30_t6,measure,1
135,0,C1,c1_native,rand30_t6,measure,2
136,0,C1,c1_native,rand30_t6,measure,3
137,0,C1,c1_native,rand30_t6,measure,4
138,0,C1,c1_native,rand10_t8,warmup,-1
139,0,C1,c1_native,rand10_t8,measure,0
140,0,C1,c1_native,rand10_t8,measure,1
141,0,C1,c1_native,rand10_t8,measure,2
142,0,C1,c1_native,rand10_t8,measure,3
143,0,C1,c1_native,rand10_t8,measure,4
144,0,C1,c1_pool,rand10_t1,warmup,-1
145,0,C1,c1_pool,rand10_t1,measure,0
146,0,C1,c1_pool,rand10_t1,measure,1
147,0,C1,c1_pool,rand10_t1,measure,2
148,0,C1,c1_pool,rand10_t1,measure,3
149,0,C1,c1_pool,rand10_t1,measure,4
150,0,C1,c1_pool,rand30_t6,warmup,-1
151,0,C1,c1_pool,rand30_t6,measure,0
152,0,C1,c1_pool,rand30_t6,measure,1
153,0,C1,c1_pool,rand30_t6,measure,2
154,0,C1,c1_pool,rand30_t6,measure,3
155,0,C1,c1_pool,rand30_t6,measure,4
156,0,C1,c1_pool,rand10_t8,warmup,-1
157,0,C1,c1_pool,rand10_t8,measure,0
158,0,C1,c1_pool,rand10_t8,measure,1
159,0,C1,c1_pool,rand10_t8,measure,2
160,0,C1,c1_pool,rand10_t8,measure,3
161,0,C1,c1_pool,rand10_t8,measure,4
162,0,C1,c1_pool,rand20_t8,warmup,-1
163,0,C1,c1_pool,rand20_t8,measure,0
164,0,C1,c1_pool,rand20_t8,measure,1
165,0,C1,c1_pool,rand20_t8,measure,2
166,0,C1,c1_pool,rand20_t8,measure,3
167,0,C1,c1_pool,rand20_t8,measure,4
168,0,C1,c1_pool,rand30_t4,warmup,-1
169,0,C1,c1_pool,rand30_t4,measure,0
170,0,C1,c1_pool,rand30_t4,measure,1
171,0,C1,c1_pool,rand30_t4,measure,2
172,0,C1,c1_pool,rand30_t4,measure,3
173,0,C1,c1_pool,rand30_t4,measure,4
174,0,C1,c1_pool,rand20_t5,warmup,-1
175,0,C1,c1_pool,rand20_t5,measure,0
176,0,C1,c1_pool,rand20_t5,measure,1
177,0,C1,c1_pool,rand20_t5,measure,2
178,0,C1,c1_pool,rand20_t5,measure,3
179,0,C1,c1_pool,rand20_t5,measure,4
180,1,C1,std_pool,rand10_t6,warmup,-1
181,1,C1,std_pool,rand10_t6,measure,0
182,1,C1,std_pool,rand10_t6,measure,1
183,1,C1,std_pool,rand10_t6,measure,2
184,1,C1,std_pool,rand10_t6,measure,3
185,1,C1,std_pool,rand10_t6,measure,4
186,1,C1,std_pool,rand30_t5,warmup,-1
187,1,C1,std_pool,rand30_t5,measure,0
188,1,C1,std_pool,rand30_t5,measure,1
189,1,C1,std_pool,rand30_t5,measure,2
190,1,C1,std_pool,rand30_t5,measure,3
191,1,C1,std_pool,rand30_t5,measure,4
192,1,C1,std_pool,rand10_t5,warmup,-1
193,1,C1,std_pool,rand10_t5,measure,0
194,1,C1,std_pool,rand10_t5,measure,1
195,1,C1,std_pool,rand10_t5,measure,2
196,1,C1,std_pool,rand10_t5,measure,3
197,1,C1,std_pool,rand10_t5,measure,4
198,1,C1,std_pool,rand20_t3,warmup,-1
199,1,C1,std_pool,rand20_t3,measure,0
200,1,C1,std_pool,rand20_t3,measure,1
201,1,C1,std_pool,rand20_t3,measure,2
202,1,C1,std_pool,rand20_t3,measure,3
203,1,C1,std_pool,rand20_t3,measure,4
204,1,C1,std_pool,rand20_t1,warmup,-1
205,1,C1,std_pool,rand20_t1,measure,0
206,1,C1,std_pool,rand20_t1,measure,1
207,1,C1,std_pool,rand20_t1,measure,2
208,1,C1,std_pool,rand20_t1,measure,3
209,1,C1,std_pool,rand20_t1,measure,4
210,1,C1,std_pool,ghz8_x30,warmup,-1
211,1,C1,std_pool,ghz8_x30,measure,0
212,1,C1,std_pool,ghz8_x30,measure,1
213,1,C1,std_pool,ghz8_x30,measure,2
214,1,C1,std_pool,ghz8_x30,measure,3
215,1,C1,std_pool,ghz8_x30,measure,4
216,1,C1,std_pool,rand30_t2,warmup,-1
217,1,C1,std_pool,rand30_t2,measure,0
218,1,C1,std_pool,rand30_t2,measure,1
219,1,C1,std_pool,rand30_t2,measure,2
220,1,C1,std_pool,rand30_t2,measure,3
221,1,C1,std_pool,rand30_t2,measure,4
222,1,C1,c1_native,rand10_t6,warmup,-1
223,1,C1,c1_native,rand10_t6,measure,0
224,1,C1,c1_native,rand10_t6,measure,1
225,1,C1,c1_native,rand10_t6,measure,2
226,1,C1,c1_native,rand10_t6,measure,3
227,1,C1,c1_native,rand10_t6,measure,4
228,1,C1,c1_native,rand10_t5,warmup,-1
229,1,C1,c1_native,rand10_t5,measure,0
230,1,C1,c1_native,rand10_t5,measure,1
231,1,C1,c1_native,rand10_t5,measure,2
232,1,C1,c1_native,rand10_t5,measure,3
233,1,C1,c1_native,rand10_t5,measure,4
234,1,C1,c1_native,rand20_t3,warmup,-1
235,1,C1,c1_native,rand20_t3,measure,0
236,1,C1,c1_native,rand20_t3,measure,1
237,1,C1,c1_native,rand20_t3,measure,2
238,1,C1,c1_native,rand20_t3,measure,3
239,1,C1,c1_native,rand20_t3,measure,4
240,1,C1,c1_native,ghz8_x30,warmup,-1
241,1,C1,c1_native,ghz8_x30,measure,0
242,1,C1,c1_native,ghz8_x30,measure,1
243,1,C1,c1_native,ghz8_x30,measure,2
244,1,C1,c1_native,ghz8_x30,measure,3
245,1,C1,c1_native,ghz8_x30,measure,4
246,1,C1,c1_native,rand30_t5,warmup,-1
247,1,C1,c1_native,rand30_t5,measure,0
