idx,name,qubits,original_shots,stop_at,grade,full_pipeline_ms,stop_pipeline_ms,time_saved_pct,actual_shots
9,VQE Hubbard 16Q,16,1000,300,FAIL,21.139,7.294,65.5,344
10,Grover Lights-Out 16Q,16,4000,1200,FAIL,109.474,35.09,67.9,1281
11,QSVM Kernel 15Q (LHC),15,8192,2457,FAIL,141.948,42.647,70.0,2460
12,QML Kernel 17Q (Supernova),17,5000,1500,FAIL,54.354,11.156,79.5,1507
13,QAOA MaxCut 16Q,16,20000,6000,FAIL,356.292,109.498,69.3,6145
14,VQE BeH2 14Q,14,4096,1227,FAIL,215.503,67.46,68.7,1281
15,Shor N=35 13Q,13,1024,408,MARGINAL,68.4,30.041,56.1,449
